"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
49.36.83.154,2023-06-14,10:11:12 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-15,08:44:04 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-23,04:28:25 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-03,09:15:43 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-03,10:55:13 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-03,11:07:59 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-04,10:47:21 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-07,10:38:35 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-10,04:01:33 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-10,06:52:47 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-14,06:41:09 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-14,12:14:15 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-18,10:32:32 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-19,04:11:23 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-19,07:20:41 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-20,06:03:49 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-07-25,12:55:06 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-08-04,07:25:04 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,05:25:41 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-31,11:44:00 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-08,06:04:17 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-12,11:40:49 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-13,10:22:50 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-18,04:49:26 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-05-22,00:05:49 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-07-17,17:42:51 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-03,23:56:13 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-06,08:26:37 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-10,08:46:37 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-10,16:19:06 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-10,17:13:28 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-10,17:23:46 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-10,17:27:07 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
<<<<<<< HEAD
<<<<<<< HEAD
49.36.83.154,2024-09-11,08:16:11 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
<<<<<<< HEAD
49.36.83.154,2024-09-12,12:23:20 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-12,12:25:05 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-12,12:40:59 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-16,10:24:44 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-16,10:40:50 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-16,11:16:58 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
=======
=======
49.36.83.154,2024-09-11,10:28:54 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
>>>>>>> d2b5e49 (a fix)
<<<<<<< HEAD
<<<<<<< HEAD
>>>>>>> b22308964720206036d07aabcf40721bdc7fe23c
=======
=======
>>>>>>> 88d8d7da0b84115db655fe18cc8b55d07f28d477
=======
49.36.83.154,2024-09-11,10:28:54 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-14,08:09:20 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-15,15:08:05 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
=======
49.36.83.154,2024-09-11,08:16:11 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
>>>>>>> 399e6d0 (update)
>>>>>>> repoB-branch
<<<<<<< HEAD
>>>>>>> 88d8d7da0b84115db655fe18cc8b55d07f28d477
49.36.83.154,2024-09-21,07:12:09 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
=======
>>>>>>> 88d8d7da0b84115db655fe18cc8b55d07f28d477
49.36.83.154,2024-10-05,14:00:12 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-05,14:02:43 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-05,15:03:33 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-06,00:29:46 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-09,14:21:00 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-09,14:21:18 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,10:26:12 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-11-08,16:04:32 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-11-14,18:10:46 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-11-24,10:13:56 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-12-28,20:22:29 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
